
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.0
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0260_0001.xyz      1   3.50     230.34      35.64       0.00
     mol_0261_0001.xyz      1   3.50     270.47      28.61       0.00
     mol_0262_0001.xyz      1   3.50     283.99      28.93       0.00
     mol_0263_0001.xyz      1   3.50     222.03      26.20       0.00
     mol_0264_0001.xyz      1   3.50     318.15      30.92       0.00
     mol_0265_0001.xyz      1   3.50     234.54      30.82       0.00
     mol_0266_0001.xyz      1   3.50     257.81      31.41       0.00
     mol_0267_0001.xyz      1   3.50     315.46      31.63       0.00
     mol_0268_0001.xyz      1   3.50     212.32      27.81       0.00
     mol_0269_0001.xyz      1   3.50     258.56      29.39       0.00
     mol_0270_0001.xyz      1   3.50     247.42      21.28       0.00
     mol_0271_0001.xyz      1   3.50     248.28      28.73       0.00
     mol_0272_0001.xyz      1   3.50     251.52      29.69       0.00
     mol_0273_0001.xyz      1   3.50     319.49      35.38       0.00
     mol_0275_0001.xyz      1   3.50     204.67      40.90       0.00
     mol_0276_0001.xyz      1   3.50     302.03      45.01       0.00
     mol_0277_0001.xyz      1   3.50     361.52      29.50       0.00
     mol_0279_0001.xyz      1   3.50     291.25      28.39       0.00
     mol_0280_0001.xyz      1   3.50     206.77      26.29       0.00
     mol_0281_0001.xyz      1   3.50     203.34      35.45       0.00
     mol_0282_0001.xyz      1   3.50     301.90      40.63       0.00
     mol_0283_0001.xyz      1   3.50     289.85      30.27       0.00
     mol_0284_0001.xyz      1   3.50     231.12      29.84       0.00
     mol_0285_0001.xyz      1   3.50     248.75      27.67       0.00
     mol_0286_0001.xyz      1   3.50     263.81      42.03       0.00
     mol_0287_0001.xyz      1   3.50     256.16      28.86       0.00
     mol_0288_0001.xyz      1   3.50     366.52      38.99       0.00
     mol_0289_0001.xyz      1   3.50     223.37      34.98       0.00
     mol_0290_0001.xyz      1   3.50     249.12      31.92       0.00
     mol_0291_0001.xyz      1   3.50     263.20      37.08       0.00
     mol_0292_0001.xyz      1   3.50     330.62      36.56       0.00
     mol_0293_0001.xyz      1   3.50     212.46      30.96       0.00
     mol_0294_0001.xyz      1   3.50     167.99      31.07       0.00
     mol_0295_0001.xyz      1   3.50     224.37      31.32       0.00
     mol_0296_0001.xyz      1   3.50     221.03      30.16       0.00
     mol_0297_0001.xyz      1   3.50     295.73      36.41       0.00
     mol_0298_0001.xyz      1   3.50     200.65      35.96       0.00
     mol_0299_0001.xyz      1   3.50     258.22      38.38       0.00
     mol_0300_0001.xyz      1   3.50     278.71      41.97       0.00
     mol_0301_0001.xyz      1   3.50     319.51      43.36       0.00
     mol_0302_0001.xyz      1   3.50     348.89      30.98       0.00
     mol_0303_0001.xyz      1   3.50     335.62      30.97       0.00
     mol_0304_0001.xyz      1   3.50     324.27      26.63       0.00
     mol_0305_0001.xyz      1   3.50     382.70      36.99       0.00
     mol_0306_0001.xyz      1   3.50     291.47      31.63       0.00
     mol_0307_0001.xyz      1   3.50     264.56      31.08       0.00
     mol_0308_0001.xyz      1   3.50     272.56      34.04       0.00
     mol_0309_0001.xyz      1   3.50     373.57      45.49       0.00
     mol_0310_0001.xyz      1   3.50     320.51      28.62       0.00
     mol_0311_0001.xyz      1   3.50     289.05      38.91       0.00
     mol_0312_0001.xyz      1   3.50     320.41      22.65       0.00
     mol_0313_0001.xyz      1   3.50     255.17      29.13       0.00
     mol_0314_0001.xyz      1   3.50     244.26      33.26       0.00
     mol_0315_0001.xyz      1   3.50     255.18      28.61       0.00
     mol_0316_0001.xyz      1   3.50     294.62      36.38       0.00
     mol_0317_0001.xyz      1   3.50     300.28      34.94       0.00
     mol_0318_0001.xyz      1   3.50     326.84      28.49       0.00
     mol_0319_0001.xyz      1   3.50     236.92      34.32       0.00
     mol_0320_0001.xyz      1   3.50     230.86      43.52       0.00
     mol_0321_0001.xyz      1   3.50     331.64      33.58       0.00
     mol_0322_0001.xyz      1   3.50     293.17      46.66       0.00
     mol_0323_0001.xyz      1   3.50     260.17      27.97       0.00
     mol_0324_0001.xyz      1   3.50     295.55      28.63       0.00
     mol_0325_0001.xyz      1   3.50     227.63      29.49       0.00
     mol_0326_0001.xyz      1   3.50     300.35      38.15       0.00
     mol_0327_0001.xyz      1   3.50     351.18      40.55       0.00
     mol_0328_0001.xyz      1   3.50     222.78      27.64       0.00
     mol_0329_0001.xyz      1   3.50     276.04      28.28       0.00
     mol_0330_0001.xyz      1   3.50     336.93      37.72       0.00
     mol_0331_0001.xyz      1   3.50     344.32      28.40       0.00
     mol_0332_0001.xyz      1   3.50     188.75      40.14       0.00
     mol_0333_0001.xyz      1   3.50     275.04      36.03       0.00
     mol_0334_0001.xyz      1   3.50     205.83      39.10       0.00
     mol_0335_0001.xyz      1   3.50     275.34      40.57       0.00
