
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.07
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0230_0001.xyz      1   3.50     263.27      36.10       0.00
     mol_0231_0001.xyz      1   3.50     378.42      39.24       0.00
     mol_0232_0001.xyz      1   3.50     400.57      25.35       0.00
     mol_0233_0001.xyz      1   3.50     398.38      36.46       0.00
     mol_0234_0001.xyz      1   3.50     244.37      31.16       0.00
     mol_0235_0001.xyz      1   3.50     304.55      54.49       0.00
     mol_0236_0001.xyz      1   3.50     332.08      43.79       0.00
     mol_0237_0001.xyz      1   3.50     397.89      35.02       0.00
     mol_0238_0001.xyz      1   3.50     298.88      33.87       0.00
     mol_0239_0001.xyz      1   3.50     372.89      36.24       0.00
     mol_0240_0001.xyz      1   3.50     266.34      35.65       0.00
     mol_0241_0001.xyz      1   3.50     387.10      45.50       0.00
     mol_0242_0001.xyz      1   3.50     322.27      39.10       0.00
     mol_0243_0001.xyz      1   3.50     256.93      33.57       0.00
     mol_0244_0001.xyz      1   3.50     335.45      32.25       0.00
     mol_0245_0001.xyz      1   3.50     374.93      37.86       0.00
     mol_0246_0001.xyz      1   3.50     308.24      40.30       0.00
     mol_0247_0001.xyz      1   3.50     405.75      34.65       0.00
     mol_0248_0001.xyz      1   3.50     214.45      38.68       0.00
     mol_0249_0001.xyz      1   3.50     186.89      36.35       0.00
     mol_0250_0001.xyz      1   3.50     329.94      39.03       0.00
     mol_0251_0001.xyz      1   3.50     369.23      49.17       0.00
     mol_0252_0001.xyz      1   3.50     309.68      38.39       0.00
     mol_0253_0001.xyz      1   3.50     258.04      39.58       0.00
     mol_0254_0001.xyz      1   3.50     438.81      32.22       0.00
     mol_0255_0001.xyz      1   3.50     366.86      51.93       0.00
     mol_0256_0001.xyz      1   3.50     299.51      32.71       0.00
     mol_0257_0001.xyz      1   3.50     293.21      33.46       0.00
     mol_0258_0001.xyz      1   3.50     352.11      48.90       0.00
     mol_0259_0001.xyz      1   3.50     340.40      43.94       0.00
     mol_0260_0001.xyz      1   3.50     258.69      39.27       0.00
     mol_0261_0001.xyz      1   3.50     306.27      32.21       0.00
     mol_0262_0001.xyz      1   3.50     320.10      32.53       0.00
     mol_0263_0001.xyz      1   3.50     250.44      29.42       0.00
     mol_0264_0001.xyz      1   3.50     356.54      34.57       0.00
     mol_0265_0001.xyz      1   3.50     264.59      34.25       0.00
     mol_0266_0001.xyz      1   3.50     288.11      35.65       0.00
     mol_0267_0001.xyz      1   3.50     357.10      35.98       0.00
     mol_0268_0001.xyz      1   3.50     240.03      31.36       0.00
     mol_0269_0001.xyz      1   3.50     292.74      32.95       0.00
     mol_0270_0001.xyz      1   3.50     279.42      24.46       0.00
     mol_0271_0001.xyz      1   3.50     279.96      32.29       0.00
     mol_0272_0001.xyz      1   3.50     283.30      33.45       0.00
     mol_0273_0001.xyz      1   3.50     359.35      39.27       0.00
     mol_0275_0001.xyz      1   3.50     230.55      45.14       0.00
     mol_0276_0001.xyz      1   3.50     340.87      49.51       0.00
     mol_0277_0001.xyz      1   3.50     405.83      33.04       0.00
     mol_0279_0001.xyz      1   3.50     327.31      31.86       0.00
     mol_0280_0001.xyz      1   3.50     235.30      29.87       0.00
     mol_0281_0001.xyz      1   3.50     229.38      39.34       0.00
     mol_0282_0001.xyz      1   3.50     340.18      45.66       0.00
