mol_file,atom1_idx,element
mol_0097_0001.xyz,36,H
mol_0099_0001.xyz,34,H
mol_0102_0001.xyz,32,H
mol_0105_0001.xyz,30,H
mol_0107_0001.xyz,29,H
mol_0108_0001.xyz,34,H
mol_0109_0001.xyz,34,H
mol_0113_0001.xyz,40,H
mol_0115_0001.xyz,26,H
mol_0116_0001.xyz,41,H
mol_0118_0001.xyz,29,H
mol_0122_0001.xyz,19,H
mol_0124_0001.xyz,15,H
mol_0126_0001.xyz,41,H
mol_0133_0001.xyz,40,H
mol_0134_0001.xyz,31,H
mol_0135_0001.xyz,22,H
mol_0138_0001.xyz,19,H
mol_0141_0001.xyz,34,H
mol_0142_0001.xyz,38,H
mol_0144_0001.xyz,28,H
mol_0145_0001.xyz,23,H
mol_0148_0001.xyz,30,H
mol_0150_0001.xyz,38,H
mol_0152_0001.xyz,44,H
mol_0155_0001.xyz,42,H
mol_0157_0001.xyz,31,H
mol_0158_0001.xyz,23,H
mol_0164_0001.xyz,48,H
mol_0166_0001.xyz,38,H
mol_0167_0001.xyz,24,H
mol_0169_0001.xyz,37,H
mol_0170_0001.xyz,44,H
mol_0173_0001.xyz,23,H
mol_0175_0001.xyz,43,H
mol_0176_0001.xyz,45,H
mol_0180_0001.xyz,44,H
mol_0182_0001.xyz,25,H
mol_0183_0001.xyz,35,H
mol_0184_0001.xyz,29,H
mol_0188_0001.xyz,38,H
mol_0190_0001.xyz,31,H
mol_0191_0001.xyz,43,H
mol_0195_0001.xyz,36,H
mol_0196_0001.xyz,37,H
mol_0197_0001.xyz,47,H
mol_0198_0001.xyz,28,H
mol_0200_0001.xyz,24,H
mol_0206_0001.xyz,56,H
mol_0207_0001.xyz,27,H
mol_0209_0001.xyz,31,H
mol_0210_0001.xyz,43,H
mol_0212_0001.xyz,26,H
mol_0214_0001.xyz,25,H
mol_0216_0001.xyz,35,H
mol_0217_0001.xyz,23,H
mol_0218_0001.xyz,37,H
mol_0220_0001.xyz,36,H
mol_0222_0001.xyz,43,H
mol_0229_0001.xyz,32,H
mol_0230_0001.xyz,41,H
mol_0231_0001.xyz,50,H
mol_0232_0001.xyz,31,H
mol_0233_0001.xyz,41,H
mol_0235_0001.xyz,32,H
mol_0236_0001.xyz,37,H
mol_0237_0001.xyz,42,H
mol_0241_0001.xyz,37,H
mol_0242_0001.xyz,37,H
mol_0243_0001.xyz,30,H
mol_0244_0001.xyz,37,H
mol_0246_0001.xyz,34,H
mol_0249_0001.xyz,22,H
mol_0253_0001.xyz,23,H
mol_0254_0001.xyz,52,H
mol_0256_0001.xyz,29,H
mol_0257_0001.xyz,38,H
mol_0258_0001.xyz,41,H
mol_0259_0001.xyz,29,H
mol_0262_0001.xyz,34,H
mol_0266_0001.xyz,45,H
mol_0268_0001.xyz,20,H
mol_0269_0001.xyz,34,H
mol_0270_0001.xyz,34,H
mol_0273_0001.xyz,34,H
mol_0276_0001.xyz,40,H
mol_0279_0001.xyz,38,H
mol_0281_0001.xyz,33,H
mol_0291_0001.xyz,31,H
mol_0292_0001.xyz,38,H
mol_0293_0001.xyz,28,H
mol_0295_0001.xyz,37,H
mol_0300_0001.xyz,33,H
mol_0301_0001.xyz,47,H
mol_0302_0001.xyz,41,H
mol_0303_0001.xyz,30,H
mol_0305_0001.xyz,49,H
mol_0310_0001.xyz,31,H
mol_0311_0001.xyz,45,H
mol_0313_0001.xyz,25,H
mol_0317_0001.xyz,46,H
mol_0319_0001.xyz,34,H
mol_0322_0001.xyz,39,H
mol_0323_0001.xyz,36,H
mol_0324_0001.xyz,43,H
mol_0327_0001.xyz,48,H
mol_0328_0001.xyz,27,H
mol_0329_0001.xyz,33,H
mol_0330_0001.xyz,40,H
mol_0331_0001.xyz,46,H
mol_0333_0001.xyz,45,H
mol_0334_0001.xyz,29,H
mol_0335_0001.xyz,38,H
mol_0336_0001.xyz,54,H
mol_0338_0001.xyz,32,H
mol_0339_0001.xyz,42,H
mol_0344_0001.xyz,35,H
mol_0348_0001.xyz,57,H
mol_0349_0001.xyz,40,H
mol_0351_0001.xyz,27,H
mol_0354_0001.xyz,33,H
mol_0357_0001.xyz,30,H
mol_0358_0001.xyz,26,H
mol_0360_0001.xyz,49,H
mol_0362_0001.xyz,33,H
mol_0364_0001.xyz,38,H
mol_0366_0001.xyz,40,H
mol_0367_0001.xyz,30,H
mol_0371_0001.xyz,29,H
mol_0373_0001.xyz,46,H
mol_0374_0001.xyz,34,H
mol_0375_0001.xyz,50,H
mol_0377_0001.xyz,37,H
mol_0378_0001.xyz,29,H
mol_0379_0001.xyz,24,H
mol_0380_0001.xyz,36,H
mol_0382_0001.xyz,36,H
mol_0383_0001.xyz,20,H
mol_0391_0001.xyz,24,H
mol_0394_0001.xyz,40,H
mol_0395_0001.xyz,32,H
mol_0397_0001.xyz,33,H
mol_0398_0001.xyz,39,H
mol_0401_0001.xyz,28,H
mol_0402_0001.xyz,55,H
mol_0403_0001.xyz,33,H
mol_0407_0001.xyz,28,H
mol_0408_0001.xyz,28,H
mol_0410_0001.xyz,27,H
mol_0412_0001.xyz,43,H
mol_0413_0001.xyz,45,H
mol_0414_0001.xyz,31,H
mol_0415_0001.xyz,34,H
mol_0418_0001.xyz,32,H
mol_0421_0001.xyz,24,H
mol_0422_0001.xyz,31,H
mol_0423_0001.xyz,40,H
mol_0424_0001.xyz,22,H
mol_0425_0001.xyz,34,H
mol_0426_0001.xyz,32,H
mol_0429_0001.xyz,44,H
mol_0430_0001.xyz,40,H
mol_0435_0001.xyz,24,H
mol_0436_0001.xyz,23,H
mol_0437_0001.xyz,26,H
mol_0439_0001.xyz,35,H
mol_0441_0001.xyz,42,H
mol_0443_0001.xyz,30,H
mol_0445_0001.xyz,32,H
mol_0447_0001.xyz,22,H
mol_0448_0001.xyz,33,H
mol_0449_0001.xyz,25,H
mol_0450_0001.xyz,28,H
mol_0455_0001.xyz,20,H
mol_0457_0001.xyz,34,H
mol_0458_0001.xyz,31,H
mol_0462_0001.xyz,21,H
mol_0463_0001.xyz,44,H
mol_0465_0001.xyz,19,H
mol_0467_0001.xyz,37,H
mol_0468_0001.xyz,21,H
mol_0469_0001.xyz,34,H
mol_0472_0001.xyz,18,H
mol_0474_0001.xyz,49,H
mol_0475_0001.xyz,34,H
mol_0478_0001.xyz,44,H
mol_0479_0001.xyz,44,H
mol_0482_0001.xyz,23,H
mol_0483_0001.xyz,23,H
mol_0484_0001.xyz,43,H
mol_0485_0001.xyz,30,H
mol_0488_0001.xyz,50,H
mol_0490_0001.xyz,31,H
mol_0494_0001.xyz,28,H
mol_0495_0001.xyz,25,H
mol_0496_0001.xyz,33,H
mol_0003_0001.xyz,13,N
mol_0004_0001.xyz,5,N
mol_0006_0001.xyz,20,N
mol_0010_0001.xyz,12,N
mol_0015_0001.xyz,13,N
mol_0020_0001.xyz,19,N
mol_0025_0001.xyz,4,N
mol_0026_0001.xyz,15,N
mol_0027_0001.xyz,8,N
mol_0030_0001.xyz,21,N
mol_0031_0001.xyz,15,N
mol_0036_0001.xyz,17,N
mol_0037_0001.xyz,8,N
mol_0039_0001.xyz,13,N
mol_0040_0001.xyz,10,N
mol_0042_0001.xyz,3,N
mol_0049_0001.xyz,18,N
mol_0051_0001.xyz,3,N
mol_0054_0001.xyz,21,N
mol_0055_0001.xyz,10,N
mol_0060_0001.xyz,2,N
mol_0064_0001.xyz,13,N
mol_0066_0001.xyz,17,N
mol_0070_0001.xyz,10,N
mol_0072_0001.xyz,15,N
mol_0075_0001.xyz,3,N
mol_0083_0001.xyz,21,N
mol_0084_0001.xyz,18,N
mol_0085_0001.xyz,9,N
mol_0086_0001.xyz,9,N
mol_0091_0001.xyz,15,N
mol_0093_0001.xyz,12,N
mol_0094_0001.xyz,10,N
mol_0096_0001.xyz,17,N
