
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Charry-Tkatchenko atomic radii will be scaled by 1.0
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0201_0001.xyz      1   3.50     386.77      59.48       0.00
     mol_0202_0001.xyz      1   3.50     431.48      61.61       0.00
     mol_0203_0001.xyz      1   3.50     481.84      57.86       0.00
     mol_0204_0001.xyz      1   3.50     475.93      60.24       0.00
     mol_0205_0001.xyz      1   3.50     484.24      41.82       0.00
     mol_0206_0001.xyz      1   3.50     568.05      64.67       0.00
     mol_0207_0001.xyz      1   3.50     354.22      43.67       0.00
     mol_0208_0001.xyz      1   3.50     426.10      53.73       0.00
     mol_0209_0001.xyz      1   3.50     495.07      59.22       0.00
     mol_0210_0001.xyz      1   3.50     480.05      50.51       0.00
     mol_0211_0001.xyz      1   3.50     371.03      47.90       0.00
     mol_0212_0001.xyz      1   3.50     395.10      47.10       0.00
     mol_0213_0001.xyz      1   3.50     500.09      54.83       0.00
     mol_0214_0001.xyz      1   3.50     478.71      47.77       0.00
     mol_0215_0001.xyz      1   3.50     311.36      45.21       0.00
     mol_0216_0001.xyz      1   3.50     515.94      55.12       0.00
     mol_0217_0001.xyz      1   3.50     365.99      55.86       0.00
     mol_0218_0001.xyz      1   3.50     446.12      49.62       0.00
     mol_0219_0001.xyz      1   3.50     502.42      50.74       0.00
     mol_0220_0001.xyz      1   3.50     414.41      67.12       0.00
     mol_0221_0001.xyz      1   3.50     386.19      50.76       0.00
     mol_0222_0001.xyz      1   3.50     532.39      51.84       0.00
     mol_0223_0001.xyz      1   3.50     483.80      56.09       0.00
     mol_0224_0001.xyz      1   3.50     431.93      51.87       0.00
     mol_0225_0001.xyz      1   3.50     561.04      45.44       0.00
     mol_0226_0001.xyz      1   3.50     488.35      56.46       0.00
     mol_0227_0001.xyz      1   3.50     419.73      48.56       0.00
     mol_0228_0001.xyz      1   3.50     477.21      54.74       0.00
     mol_0229_0001.xyz      1   3.50     411.70      53.58       0.00
     mol_0230_0001.xyz      1   3.50     403.81      53.64       0.00
     mol_0231_0001.xyz      1   3.50     549.23      53.79       0.00
     mol_0232_0001.xyz      1   3.50     530.37      31.69       0.00
     mol_0233_0001.xyz      1   3.50     562.34      48.05       0.00
     mol_0234_0001.xyz      1   3.50     368.21      48.83       0.00
     mol_0235_0001.xyz      1   3.50     427.26      69.73       0.00
     mol_0236_0001.xyz      1   3.50     448.35      57.50       0.00
     mol_0237_0001.xyz      1   3.50     572.94      52.28       0.00
     mol_0238_0001.xyz      1   3.50     402.91      45.86       0.00
     mol_0239_0001.xyz      1   3.50     494.82      50.31       0.00
     mol_0240_0001.xyz      1   3.50     387.46      50.88       0.00
     mol_0241_0001.xyz      1   3.50     567.81      61.10       0.00
     mol_0242_0001.xyz      1   3.50     429.59      54.25       0.00
     mol_0243_0001.xyz      1   3.50     377.81      50.07       0.00
     mol_0244_0001.xyz      1   3.50     475.34      50.68       0.00
     mol_0245_0001.xyz      1   3.50     499.32      52.36       0.00
