name,E_rel(kcal/mol),E_tot,pct_V_bur_r2.5,pct_V_bur_r3.5,pct_V_bur_r4.5,pct_V_bur_r5.5,pct_V_bur_r6.5,pct_V_bur_r7.5,pct_V_bur_r8.5
fragment_00048,0.630544725730082,-386.6038714165315,28.15464768705039,19.618853985705282,12.605074217621617,7.372530054261536,4.466673078772723,2.907172006085486,1.9972219257932295
fragment_00049,0.0,-588.3646116014128,28.745346268223138,21.646329788159935,15.117848845092455,10.941227520854609,7.5176835560453386,5.001229376814887,3.435835563354068
fragment_00049,0.021520351203735834,-588.3645773065501,28.771987493597727,21.660220234717432,15.135960289756914,10.963148112703411,7.518629069989224,5.000889848120326,3.435602307753164
fragment_00050,0.0,-594.4132763892337,28.809960631426062,21.684381299196833,15.08899498840278,10.624193666433706,7.517835707714469,5.592794465455926,3.9248996660751696
fragment_00051,0.0,-471.7771720847217,24.888581410104496,17.997946004282056,11.267349159177002,6.172027853861048,3.7393446284211707,2.4337841236948305,1.6720053042323646
fragment_00051,0.18377889275276887,-471.776879214414,24.34207760139745,16.72621057725448,10.932664072330494,6.163722425034536,3.734312755363482,2.430509086495218,1.6697553595819752
fragment_00051,0.18402347698510954,-471.77687882464426,24.346855541837552,16.73094531035131,10.933417351222507,6.1647449076330485,3.7349322300163723,2.4309122768200084,1.670032350608049
fragment_00052,0.0,-617.7720790897498,28.757630312551363,21.649035201196444,15.165927689156518,11.113124204429507,8.283234679277866,6.2754169058693465,4.483017145647325
fragment_00052,0.1254920215823036,-617.7718791054838,28.742558457319227,21.63849616521433,15.144541118874615,11.082915845683363,8.257412367431066,6.263908297826648,4.484202861618589
fragment_00052,0.48480456531144767,-617.7713065044975,28.683203152621996,21.608734734858796,15.141429749538043,11.094701410823635,8.269671444772476,6.269305389367262,4.483648879566441
fragment_00052,0.5056721669582178,-617.7712732498575,28.676113623418875,21.60472637768548,15.135600025938995,11.085189801390746,8.261966049528628,6.26564838238627,4.482701278687767
fragment_00053,0.0,-444.18669426235033,27.2266887327362,22.618934058397365,16.295780524662025,10.767136404739514,6.547912288909935,4.2617641741205,2.927824302551175
fragment_00054,0.0,-482.08402803606714,28.793763163829716,21.670873384185292,15.07242285277852,10.634715109558345,7.275599382481583,5.163184564120135,3.70652382871186
fragment_00055,0.0,-314.6767315189821,28.679755848662857,22.054038622888953,14.885740692584266,8.92912527331229,5.409741727975638,3.520976224220223,2.418904316803092
fragment_00055,0.6109740104096669,-314.67575786992074,29.793776996292188,23.417500739786593,15.662190123920958,8.936300589793076,5.414088918522237,3.5238056300082246,2.420848113477295
fragment_00056,0.0,-399.7872874349972,24.95011734845994,18.813417117791435,12.762895632996422,7.875914381971157,4.77309567242615,3.106609746567294,2.134235293866097
fragment_00056,1.3789883311076272,-399.7850898772102,24.92766253473537,18.841313331406948,12.741483199588119,7.8726137363899955,4.7726392174187575,3.106312658959554,2.134031195215306
fragment_00057,0.0,-880.3636258143218,28.060666753304332,20.400502717249395,14.542900542950326,10.49528160157369,8.025261524266288,5.95348921433004,4.220351901062305
fragment_00057,0.057068113783116894,-880.3635348704937,28.0210244648318,20.377246822332623,14.545848156006022,10.499691096918074,8.02606575451741,5.954024702410172,4.219661853242963
fragment_00057,0.3206417118316305,-880.3631148392288,27.971728585244275,20.33644456358642,14.541819751496568,10.502130749597637,8.024413822109702,5.953946893751002,4.218811442197999
fragment_00058,0.0,-594.4126325879681,28.80767995841233,21.674551701809904,15.501791821225305,11.750047132860134,8.360527727196404,5.709726733159589,3.9235730248450262
fragment_00058,0.007275446031262539,-594.4126209938069,28.758915670940073,21.64643380599431,15.424204095348076,11.675746730701581,8.33333967291456,5.708609117873328,3.924102709438746
fragment_00058,0.4423477419980221,-594.4119276619706,28.700162644511845,21.617120237850706,15.443908720710503,11.703174377949392,8.34514954063781,5.709132557944107,3.9239812221466086
fragment_00058,0.4471453799928261,-594.4119200164478,28.69573194154329,21.619803822181126,15.442643052574281,11.703155876566209,8.344519198008552,5.708743514648258,3.9236556362036796
fragment_00059,0.0,-1309.0966457185898,30.170851966517603,24.363131272693096,18.338902138591525,12.674694291156763,8.540718775352952,5.995680629124036,4.149281835161766
